,source,hyperlink,house_is,property_subtype,price,sale,rooms_number,area,kitchen_has,furnished,open_fire,terrace,terrace_area,garden,garden_area,land_surface,land_plot_surface,facades_number,swimming_pool_has,building_state,unmerged_postcode
537,6,8119869,True,MIXED-USE-BUILDING,1000000,,2.0,430.0,True,False,False,False,0.0,False,0.0,130.0,130.0,0.0,False,AS NEW,1030
538,6,8876539,True,APARTMENT-BLOCK,395000,,4.0,200.0,False,False,False,True,10.0,True,130.0,220.0,220.0,0.0,False,TO RENOVATE,1030
539,6,8930088,True,APARTMENT-BLOCK,2950000,,9.0,700.0,True,False,False,True,60.0,True,60.0,240.0,240.0,0.0,False,AS NEW,1060
551,6,8801501,True,MIXED-USE-BUILDING,875000,,10.0,500.0,True,False,False,True,0.0,False,0.0,100.0,100.0,0.0,False,TO RENOVATE,1080
552,6,8728642,True,APARTMENT-BLOCK,985000,,5.0,275.0,True,False,False,True,14.0,False,0.0,108.0,108.0,0.0,False,AS NEW,1050
553,6,8243569,True,MIXED-USE-BUILDING,1100000,,6.0,430.0,True,False,False,True,5.0,False,0.0,130.0,130.0,0.0,False,GOOD,1030
554,6,8302931,True,APARTMENT-BLOCK,1975000,,10.0,716.0,True,True,False,True,15.0,False,0.0,0.0,100.0,0.0,False,AS NEW,1000
577,6,8956163,True,APARTMENT-BLOCK,500000,,3.0,230.0,True,False,False,True,2.0,True,80.0,176.0,176.0,0.0,False,TO RENOVATE,1190
584,6,8951369,True,APARTMENT-BLOCK,1250000,,3.0,280.0,False,True,False,True,0.0,False,0.0,150.0,150.0,0.0,False,,1200
586,6,8938992,True,APARTMENT-BLOCK,520000,,7.0,350.0,False,False,False,True,15.0,False,0.0,0.0,350.0,0.0,False,NOT SPECIFIED,1090
591,6,8456380,True,APARTMENT-BLOCK,470000,,3.0,260.0,True,False,False,True,0.0,True,60.0,164.0,164.0,0.0,False,,1090
592,6,8768363,True,APARTMENT-BLOCK,523000,,3.0,189.0,False,False,False,False,0.0,False,0.0,0.0,189.0,0.0,False,AS NEW,1030
608,6,8937462,True,APARTMENT-BLOCK,1200000,,2.0,500.0,False,False,False,False,0.0,False,0.0,0.0,500.0,0.0,False,,1000
612,6,8709184,True,APARTMENT-BLOCK,295000,,9.0,376.0,True,False,False,True,0.0,False,0.0,206.0,206.0,0.0,False,,1210
618,6,8326164,True,MIXED-USE-BUILDING,999000,,5.0,625.0,False,False,False,True,110.0,True,600.0,999.0,999.0,0.0,False,GOOD,1150
624,6,8896998,True,HOUSE,850000,,6.0,253.0,False,False,False,False,0.0,True,80.0,162.0,162.0,0.0,False,GOOD,1040
625,6,8903014,True,APARTMENT-BLOCK,950000,,0.0,370.0,True,False,False,False,0.0,False,0.0,85.0,85.0,0.0,False,NOT SPECIFIED,1060
637,6,8948937,True,APARTMENT-BLOCK,765000,,5.0,185.0,True,False,False,False,0.0,False,0.0,77.0,77.0,0.0,False,TO RENOVATE,1050
642,6,8955442,True,MIXED-USE-BUILDING,299000,,0.0,110.0,False,False,False,False,0.0,False,0.0,0.0,110.0,0.0,False,TO RENOVATE,1060
654,6,8652073,True,MIXED-USE-BUILDING,460000,,5.0,180.0,False,False,False,False,0.0,False,0.0,160.0,160.0,0.0,False,,1070
660,6,8697160,True,APARTMENT-BLOCK,519000,,4.0,190.0,True,False,False,True,49.0,False,0.0,0.0,18.0,0.0,False,AS NEW,1070
661,6,8781205,True,APARTMENT-BLOCK,818000,,5.0,305.0,False,False,False,False,0.0,False,0.0,0.0,305.0,0.0,False,AS NEW,1030
662,6,8594080,True,APARTMENT-BLOCK,895000,,0.0,288.0,True,False,False,False,0.0,False,0.0,117.0,117.0,0.0,False,,1180
667,6,8937011,True,APARTMENT-BLOCK,640000,,5.0,300.0,False,False,False,True,5.0,True,60.0,3.0,3.0,0.0,False,,1082
668,6,8956162,True,APARTMENT-BLOCK,750000,,7.0,425.0,True,False,False,False,0.0,False,0.0,378.0,378.0,0.0,False,GOOD,1030
669,6,8956698,True,APARTMENT-BLOCK,1375000,,12.0,580.0,False,False,False,False,0.0,False,0.0,150.0,150.0,0.0,False,TO RENOVATE,1000
670,6,8899505,True,APARTMENT-BLOCK,320000,,4.0,0.0,True,False,False,True,0.0,False,0.0,174.0,174.0,0.0,False,NOT SPECIFIED,1030
701,6,8545407,True,MIXED-USE-BUILDING,1050000,,3.0,385.0,True,False,False,True,11.0,False,0.0,93.0,93.0,0.0,False,GOOD,1060
705,6,8826495,True,MIXED-USE-BUILDING,560000,,4.0,270.0,True,False,False,True,90.0,False,0.0,0.0,270.0,0.0,False,GOOD,1060
707,6,8915735,True,APARTMENT-BLOCK,945000,,7.0,380.0,True,False,False,True,23.0,True,200.0,393.0,393.0,0.0,False,TO RENOVATE,1180
730,6,8697013,True,MIXED-USE-BUILDING,419000,,4.0,220.0,True,False,False,False,0.0,False,0.0,0.0,25.0,0.0,False,,1070
736,6,8827981,True,HOUSE,325000,,1.0,0.0,False,False,False,False,0.0,False,0.0,0.0,0.0,0.0,False,,1160
737,6,8905329,True,APARTMENT-BLOCK,990000,,10.0,580.0,False,False,False,False,0.0,False,0.0,140.0,140.0,0.0,False,TO RENOVATE,1060
754,6,8845778,True,APARTMENT-BLOCK,595000,,3.0,260.0,True,False,False,False,0.0,False,0.0,143.0,143.0,0.0,False,,1150
