property_subtype,price,rooms_number,area,unmerged_postcode
APARTMENT-BLOCK,840000,10.0,600.0,1080
APARTMENT-BLOCK,345000,0.0,170.0,1030
MIXED-USE-BUILDING,379000,4.0,190.0,1000
APARTMENT-BLOCK,895000,2.0,543.0,1180
APARTMENT-BLOCK,399000,5.0,220.0,1020
APARTMENT-BLOCK,329000,3.0,145.0,1070
APARTMENT-BLOCK,525000,5.0,0.0,1081
APARTMENT-BLOCK,840000,0.0,350.0,1190
APARTMENT-BLOCK,995000,0.0,420.0,1160
APARTMENT-BLOCK,2350000,7.0,505.0,1050
APARTMENT-BLOCK,395000,5.0,0.0,1070
APARTMENT-BLOCK,1750000,0.0,0.0,1040
MIXED-USE-BUILDING,395000,0.0,180.0,1080
APARTMENT-BLOCK,135000,1.0,60.0,1070
APARTMENT-BLOCK,550000,4.0,150.0,1180
MIXED-USE-BUILDING,1050000,3.0,276.0,1040
APARTMENT-BLOCK,445000,6.0,540.0,1080
APARTMENT-BLOCK,450000,6.0,0.0,1060
MIXED-USE-BUILDING,765000,0.0,0.0,1070
APARTMENT-BLOCK,817000,4.0,250.0,1050
APARTMENT-BLOCK,459000,4.0,245.0,1070
MIXED-USE-BUILDING,599000,5.0,200.0,1020
APARTMENT-BLOCK,470000,5.0,0.0,1070
APARTMENT-BLOCK,599000,9.0,342.0,1080
APARTMENT-BLOCK,1349000,0.0,380.0,1000
EXCEPTIONAL-PROPERTY,799000,10.0,0.0,1080
APARTMENT-BLOCK,269000,1.0,100.0,1070
APARTMENT-BLOCK,359999,6.0,207.0,1210
APARTMENT-BLOCK,529000,6.0,260.0,1030
MANSION,635000,4.0,230.0,1060
APARTMENT-BLOCK,950000,8.0,220.0,1050
APARTMENT-BLOCK,480000,0.0,0.0,1080
APARTMENT-BLOCK,329000,4.0,170.0,1030
APARTMENT-BLOCK,700000,7.0,550.0,1030
MIXED-USE-BUILDING,310000,5.0,180.0,1080
APARTMENT-BLOCK,550000,10.0,0.0,1020
APARTMENT-BLOCK,389000,0.0,220.0,1070
MIXED-USE-BUILDING,449000,6.0,306.0,1030
APARTMENT-BLOCK,450000,3.0,170.0,1082
APARTMENT-BLOCK,1450000,9.0,0.0,1190
MIXED-USE-BUILDING,990000,4.0,400.0,1180
APARTMENT-BLOCK,420000,7.0,240.0,1080
APARTMENT-BLOCK,445000,3.0,0.0,1090
APARTMENT-BLOCK,385000,0.0,0.0,1030
APARTMENT-BLOCK,359000,0.0,381.0,1070
APARTMENT-BLOCK,485000,4.0,350.0,1070
APARTMENT-BLOCK,450000,0.0,0.0,1080
MIXED-USE-BUILDING,5585000,6.0,600.0,1000
APARTMENT-BLOCK,5585000,6.0,600.0,1000
APARTMENT-BLOCK,475000,6.0,0.0,1070
APARTMENT-BLOCK,3550000,0.0,0.0,1040
APARTMENT-BLOCK,450000,1.0,0.0,1140
APARTMENT-BLOCK,359000,6.0,180.0,1190
APARTMENT-BLOCK,1500000,28.0,0.0,1120
APARTMENT-BLOCK,2875000,9.0,0.0,1180
MIXED-USE-BUILDING,4200000,0.0,0.0,1000
APARTMENT-BLOCK,1750000,7.0,0.0,1000
APARTMENT-BLOCK,4200000,0.0,0.0,1000
HOUSE,990000,6.0,485.0,1150
HOUSE,2590000,5.0,292.0,1180
HOUSE,1050000,5.0,270.0,1150
HOUSE,545000,4.0,235.0,1200
HOUSE,500000,7.0,298.0,1030
HOUSE,500000,6.0,225.0,1180
HOUSE,500000,6.0,225.0,1190
